INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
3410	mhn	Men	mane	Noun Masculine	3376	1. A month.\2. The time of the new moon, new moon (the first day of each month, when the new moon appeared was a festival among the Hebrews).
3411	mhnuw	Menuo	may-noo'-o	Verb	3377	1. To disclose or make known something secret.\    A. in a forensic sense, to inform, report.\2. To declare, tell, make known.\3. To indicate, intimate.\    A. of a teacher.
3412	mh	Me	may	ook	3378	No, not lest.
3413	mhpote	Mepote	may'-pot-eh	Conjunction	3379	That ... not, lest, whether perhaps, whether or not, in no way, perhaps.
3414	mh	Mepo	may'-po	Adverb	3380	Not yet.
3415	mh	Mepos	may'-pos	Conjunction	3381	Lest, lest somehow, that perhaps.
3416	mhroV	Meros	may-ros'	Noun Masculine	3382	Thigh.
3417	mhte	Mete	may'-teh	Conjunction	3383	And not, neither ... nor, not so.
3418	mhthr	Meter	may'-tare	Noun Feminine	3384	1. A mother.\2. Metaph. the source of something, the motherland.
3419	mhti	Meti	may'-tee		3385	Whether, at all, perchance.
3420	mhti	Metige	may'-tig-eh		3386	1. To say nothing of, not to mention.\    A. Much less.\    B. Much more, much rather.
3421	mh	Metis	may'-tis		3387	1. Let no one.\2. Hath any one.
3422	mhtra	Metra	may'-trah	Noun Feminine	3388	The womb.
3423	mhtrolwaV	Metraloas	may-tral-o'-as	Noun Masculine	3389	Matricide, the murderer of a mother.
3424	mhtropoliV	Metropolis	may-trop'-ol-is	Noun Feminine	3390	A metropolis, a chief city.
3425	mia	Mia	mee'-ah	Adjective	3391	Only one, someone.
3426	miainw	Miaino	me-ah'-ee-no	Verb	3392	1. To dye with another colour, to stain.\2. To defile, pollute, sully, contaminate, soil.\    A. to defile with sins.
3427	miasma	Miasma	mee'-as-mah	Noun Neuter	3393	1. That which defiles, defilement.\2. Metaph., vices the foulness of which contaminates one in his intercourse with the ungodly mass of mankind.
3428	miasmoV	Miasmos	mee-as-mos'	Noun Masculine	3394	The act of defiling, defilement, pollution.
3429	migma	Migma	mig'-mah	Noun Neuter	3395	That which has been produced by a mixing, a mixture.
3430	mignumi	Mignumi	mig'-noo-mee	Verb	3396	To mix, mingle.
3431	mikron	Mikron	mik-ron'	Adjective	3397	1. Small, little.\    A. of size: of stature, of length.\    B. of space.\    C. of age: less by birth, younger.\    D. of time: short, brief, a little while, how little!\    E. of quantity: i.e. number, amount.\    F. of rank or influence.
3432	mikroV	Mikros	mik-ros'	Adjective	3398	1. Small, little.\    A. of size: hence of stature, of length.\    B. of space.\    C. of age: less by birth, younger.\    D. of time: short, brief, a little while, how little!\    E. of quantity: i.e. number, amount.\    F. of rank or influence.
3433	MilhtoV	Miletos	mil'-ay-tos	Noun Location	3399	Miletus = "pure white fine wool".\A maritime city, now nearly 10 miles (16 km), from the coast of Caria or Ionia, near the mouth of the Maeander and 35 miles (55 km) from Ephesus. It was the mother of about eighty colonies, the the birth place of Thales, Anaximander, and other famous men.
3434	milion	Milion	mil'-ee-on	Noun Neuter	3400	A mile, among the Romans the distance of a thousand paces or eight stadia, about 1.5 km [somewhat less than our mile].
3435	mimeomai	Mimeomai	mim-eh'-om-ahee	Verb	3401	To imitate: any one.
3436	mimhthV	Mimetes	mim-ay-tace'	Noun Masculine	3402	An imitator.
3437	mimnhskw	Mimnesko	mim-nace'-ko	Verb	3403	1. To remind.\    A. to be recalled or to return to one's mind, to remind one's self of, to remember.\    B. to be recalled to mind, to be remembered, had in remembrance.\    C. to remember a thing.\    D. be mindful of.
3438	misew	Miseo	mis-eh'-o	Verb	3404	1. To hate, pursue with hatred, detest.\2. To be hated, detested.
3439	misqapodosia	Misthapodosia	mis-thap-od-os-ee'-ah	Noun Feminine	3405	Payment of wages due, recompence.
3440	misqapodothV	Misthapodotes	mis-thap-od-ot'-ace	Noun Masculine	3406	One who pays wages, a rewarder.
3441	misqioV	Misthios	mis'-thee-os	Adjective	3407	Employed for hire, hired.
3442	misqoV	Misthos	mis-thos'	Noun Masculine	3408	1. Dues paid for work.\    A. wages, hire.\2. Reward: used of the fruit naturally resulting from toils and endeavours.\    A. in both senses, rewards and punishments.\    B. of the rewards which God bestows, or will bestow, upon good deeds and endeavours.\    C. of punishments.
3443	misqow	Misthoo	mis-tho'-o	Verb	3409	1. To let out for hire.\2. To hire.
3444	misqwma	Misthoma	mis'-tho-mah	Noun Neuter	3410	1. The price for which anything is either let or hired.\2. That which is either let or hired for a price, as of a house, dwelling, lodging.
3445	misqwtoV	Misthotos	mis-tho-tos'	Adjective	3411	One hired, a hireling.
3446	Mitulhnh	Mitulene	mit-oo-lay'-nay	Noun Location	3412	Mitylene = "mutilated".\The chief maritime town of the island of Lesbos in the Aegean.
3447	Micahl	Michael	mikh-ah-ale'	Noun Masculine	3413	Michael = "who is like God".\The first of the chief princes or archangels who is supposed to be the guardian angel of the Israelites.
3448	mna	Mna	mnah	Noun Feminine	3414	1. In the OT, a weight of 300 shekels was one pound.\2. In the NT, a weight and sum of money equal to 100 drachmae, one talent was 100 pounds, a pound equalled 10 1/3 oz. (300 gm).
3449	mnaomai	Mnaomai	mnah'-om-ahee	Verb	3415	1. To remind.\    A. to be recalled or to return to one's mind, to remind one's self of, to remember.\    B. to be recalled to mind, to be remembered, had in remembrance.\    C. to remember a thing.\    D. be mindful of.
3450	Mnaswn	Mnason	mnah'-sohn	Noun Masculine	3416	Mnason = "remembering".\A Christian from Cyprus, a common Greek name.
3451	mneia	Mneia	mni'-ah	Noun Feminine	3417	Remembrance, memory, mention.
3452	mnhma	Mnema	mnay'-mah	Noun Neuter	3418	1. A monument or memorial to perpetuate the memory of any person or thing.\2. A sepulchral monument.\3. A sepulchre or tomb.
3453	mnhmeion	Mnemeion	mnay-mi'-on	Noun Neuter	3419	1. Any visible object for preserving or recalling the memory of any person or thing.\    A. a memorial, monument, specifically, a sepulchral monument.\2. A sepulchre, a tomb.
3454	mnhmh	Mneme	mnay'-may	Noun Feminine	3420	1. Memory, remembrance.\2. Mention: to remember a thing, call to remembrance.
3455	mnhmoneuw	Mnemoneuo	mnay-mon-yoo'-o	Verb	3421	1. To be mindful of, to remember, to call to mind.\    A. to think of and feel for a person or thing.\    B. to hold in memory, keep in mind.\2. To make mention of.
3456	mnhmosunon	Mnemosunon	mnay-mos'-oo-non	Noun Neuter	3422	A memorial (that by which the memory of any person or thing is preserved), a remembrance.
3457	mnhsteuw	Mnesteuo	mnace-tyoo'-o	Verb	3423	1. To woo her and ask her in marriage.\2. To be promised in marriage, be betrothed.
3458	mogilaloV	Mogilalos	mog-il-al'-os	Adjective	3424	Speaking with difficulty.
3459	mogiV	Mogis	mog'-is	Adverb	3425	Hardly, with difficulty.
3460	modioV	Modios	mod'-ee-os	Noun Masculine	3426	A dry measure holding 16 sextarii (or 1/6 of the Attic medimnus), about a peck (9 litres).
3461	moi	Moi	moy		3427	I, me, my.
3462	moicaliV	Moichalis	moy-khal-is'	Noun Feminine	3428	1.  As the intimate alliance of God with the people of Israel was likened to a marriage, those who relapse into idolatry are said to commit adultery or play the harlot.\    A. fig. equiv. to faithless to God, unclean, apostate.
3463	moicaw	Moichao	moy-khah'-o	Verb	3429	To have unlawful intercourse with another's wife, to commit adultery with.
3464	moiceia	Moicheia	moy-khi'-ah	Noun Feminine	3430	Adultery.
3465	moiceuw	Moicheuo	moy-khyoo'-o	Verb	3431	1. To commit adultery.\    A. to be an adulterer.\    B. to commit adultery with, have unlawful intercourse with another's wife.\    C. of the wife: to suffer adultery, be debauched.\    D. A Hebrew idiom, the word is used of those who at a woman's solicitation are drawn away to idolatry, i.e. to the eating of things sacrificed to idols.
3466	moicoV	Moichos	moy-khos'	Noun Masculine	3432	1. An adulterer.\2. Metaph. one who is faithless toward God, ungodly.
3467	moliV	Molis	mol'-is	Adverb	3433	1. With difficulty, hardly.\2. Not easily, i.e. scarcely, very rarely.
3468	Moloc	Moloch	mol-okh'	Noun Masculine	3434	Molech = "king".\The name of the idol god of the Ammonites, to which human victims, particularly young children were offered in sacrifice. Its image was a hollow brazen figure, with the head of an ox, and outstretched human arms. It was heated red hot by a fire from within, and the little ones placed in its arms to be slowly burned, while to prevent the parents from hearing the dying cries, the sacrificing priests beat drums.
3469	molunw	Moluno	mol-oo'-no	Verb	3435	1. To pollute, stain, contaminate, defile.\    A. used in NT of those who have not kept themselves pure from the defilements of sin, who have soiled themselves by fornication and adultery.
3470	molusmoV	Molusmos	mol-oos-mos'	Noun Masculine	3436	Defilement, an action by which anything is defiled.
3471	momfh	Momphe	mom-fay'	Noun Feminine	3437	1. Blame.\2. To have a complaint against any one.
3472	monh	Mone	mon-ay'	Noun Feminine	3438	1. A staying, abiding, dwelling, abode.\2. To make an (one's) abode.\3. Metaph. of the God the Holy Spirit indwelling believers.
3473	monogenhV	Monogenes	mon-og-en-ace'	Adjective	3439	1. Single of its kind, only.\    A. used of only sons or daughters (viewed in relation to their parents).
3474	monon	Monon	mon'-on	Adverb Neuter	3440	Only, alone, but.
3475	monoV	Monos	mon'-os	Adjective	3441	Alone (without a companion), forsaken, destitute of help, alone, only, merely.
3476	monofqalmoV	Monophthalmos	mon-of'-thal-mos	Adjective	3442	Deprived of one eye, having one eye.
3477	monow	Monoo	mon-o'-o	Verb	3443	1. To make single or solitary.\2. Leave alone, forsake.
3478	morfh	Morphe	mor-fay'	Noun Feminine	3444	1. The form by which a person or thing strikes the vision.\2. External appearance.
3479	morfow	Morphoo	mor-fo'-o	Verb	3445	To form.
3480	morfwsiV	Morphosis	mor'-fo-sis	Noun Feminine	3446	1. A forming, shaping.\2. Form.\    A. the mere form, semblance.\    B. the form befitting a thing or truly expressing the fact, the very form.
3481	moscopoiew	Moschopoieo	mos-khop-oy-eh'-o	Verb	3447	To make an image.
3482	moscoV	Moschos	mos'-khos	Noun Masculine	3448	1. A tender juicy shoot.\    A. a sprout, of a plant or tree.\2. Offspring.\    A. of men: a boy or a girl, esp. if fresh and delicate.\    B. of animals: a young one.\3. A calf, a bullock, a heifer.
3483	mocqoV	Mochthos	mokh'-thos	Noun Masculine	3449	A hard and difficult labour, toil, travail, hardship, distress.
3484	mou	Mou	moo		3450	I, me, my, of me.
3485	mousikoV	Mousikos	moo-sik-os'		3451	1. Devoted to and skilled in the arts sacred to the muses.\2. Accomplished in the liberal arts.\3. Specifically, skilled in music.\4. Playing on musical instruments.
3486	mueloV	Muelos	moo-el-os'	Noun Masculine	3452	Marrow.
3487	muew	Mueo	moo-eh'-o	Verb	3453	1. To initiate into the mysteries.\2. To teach fully, instruct.\    A. to accustom one to a thing.\    B. to give one an intimate acquaintance with a thing.
3488	muqoV	Muthos	moo'-thos	Noun Masculine	3454	1. A speech, word, saying.\2. A narrative, story.\    A. a true narrative.\    B. a fiction, a fable.\        1. An invention, a falsehood.
3489	mukaomai	Mukaomai	moo-kah'-om-ahee	Verb	3455	1. To low, bellow, properly of horned cattle.\2. To roar, of a lion.
3490	mukthrizw	Mukterizo	mook-tay-rid'-zo	Verb	3456	1. To turn up the nose or sneer at.\2. To mock, deride.
3491	mulikoV	Mulikos	moo-lee-kos'	Adjective	3457	1. Belonging to a mill.\2. Made of millstone.
3492	muloV	Mulos	moo'-los	Noun Masculine	3458	1. A mill stone.\    A. a large mill consisted of two stones, an upper and an under one.\    B. the "nether" stone was stationary, but the upper one was turned by an ass.\2. A mill, the noise made by a mill.
3493	mulwn	Mulon	moo'-lone	Noun Masculine	3459	1. Place where a mill runs.\2. Mill house.
3494	Mura	Mura	moo'-rah	Noun Location	3460	Myra = "myrrh: myrtle juice".\An important town in Lycia, on the southwest coast of Asia Minor, on the river Andriacus, 2.5 miles (4 km) from the mouth.
3495	muriaV	Murias	moo-ree'-as	Noun Feminine	3461	1. Ten thousand.\2. An innumerable multitude, an unlimited number.\3. Innumerable hosts.
3496	murizw	Murizo	moo-rid'-zo	Verb	3462	To anoint.
3497	murioV	Murioi	moo'-ree-oi	Adjective	3463	1. Innumerable, countless.\2. Ten thousand.
3498	muron	Muron	moo'-ron	Noun Neuter	3464	Ointment.
3499	Musia	Musia	moo-see'-ah	Noun Location	3465	Mysia = "land of beach trees".\A province of Asia Minor on the shore of the Aegean Sea, between Lydia and Popontis; it included the cities of Pergamos, Troas, and Assos.
3500	musthrion	Musterion	moos-tay'-ree-on	Noun Neuter	3466	1. Hidden thing, secret, mystery.\    A. generally mysteries, religious secrets, confided only to the initiated and not to ordinary mortals.\    B. a hidden or secret thing, not obvious to the understanding.\    C. a hidden purpose or counsel.\        1. Secret will 1c.\    D. of men 1c.\    E. of God: the secret counsels which govern God in dealing with the righteous, which are hidden from ungodly and wicked men but plain to the godly.\2. In rabbinic writings, it denotes the mystic or hidden sense.\    A. of an OT saying.\    B. of an image or form seen in a vision.\    C. of a dream.
3501	muwpazw	Muopazo	moo-ope-ad'-zo	Verb	3467	To see dimly, see only what is near.
3502	mwlwy	Molops	mo'-lopes	Noun Masculine	3468	A bruise, wale, wound that trickles with blood.
3503	mwmaomai	Momaomai	mo-mah'-om-ahee	Verb	3469	To blame, find fault with, mock at.
3504	mwmoV	Momos	mo'-mos	Noun Masculine	3470	1. Blemish, blot, disgrace.\    A. censure.\    B. insult.\        1. Of men who are a disgrace to society.
3505	mwrainw	Moraino	mo-rah'-ee-no	Verb	3471	1. To be foolish, to act foolishly.\    A. to make foolish.\        1. To prove a person or a thing foolish.\    B. to make flat and tasteless.\        1. Of salt that has lost its strength and flavour.
3506	mwria	Moria	mo-ree'-ah	Noun Feminine	3472	Foolishness.
3507	mwrologia	Morologia	mo-rol-og-ee'-ah	Noun Feminine	3473	Foolish talking.
3508	mwroV	Moros	mo-ros'	Adjective	3474	1. Foolish.\2. Impious, godless.
3509	MwushV	Moseus	moce-yoos'	Noun Masculine	3475	Moses = "drawing out".\The legislator of the Jewish people and in a certain sense the founder of the Jewish religion. He wrote the first five books of the Bible, commonly referred to as the Books of Moses.
3510	Naasswn	Naasson	nah-as-sone'	Noun Masculine	3476	Nahshon = "enchanter".\An ancestor of Jesus the Christ.
3511	Naggai	Naggai	nang-gah'-ee	Noun Masculine	3477	Nagge = "illuminating".\An ancestor of Jesus the Christ.
3512	Nazara	Nazarite	nad-zar-eth'	Noun Location	3478	Nazareth = "the guarded one".  A title (of many) of the Nazarites of Qumran.
3513	NazarhnoV	Nazarenos	nad-zar-ay-nos'	Adjective	3479	A Nazarite.
3514	NazwraioV	Nazoraios	nad-zo-rah'-yos	Noun Masculine	3480	Nazarite = "one separated".\Followers of the the Nazarene order in accordance to Number, chapter 6.
3515	Naqam	Nathan	nath-an'	Noun Masculine	3481	Nathan = "a giver".\One of the four sons of David who were born to him by Bathshua.
3516	Naqanahl	Nathanael	nath-an-ah-ale'	Noun Masculine	3482	Nathanael = "gift of God".\An intimate disciple of Jesus the Christ, he is commonly thought to be the same person as Bartholomew.
3517	nai	Nai	nahee		3483	Yea, verily, truly, assuredly, even so.
3518	Nain	Nain	nah-in'	Noun Location	3484	Nain = meaning "beauty".\A village in Galilee located at the north base of Little Hermon.
3519	naoV	Naos	nah-os'	Noun Masculine	3485	1. Used of the temple at Jerusalem, but only of the sacred edifice (or sanctuary) itself, consisting of the Holy place and the Holy of Holies (in classical Greek it is used of the sanctuary or cell of the temple, where the image of gold was placed which is distinguished from the whole enclosure).\2. A temple,a shrine.\3. Metaph. the spiritual temple consisting of the saints of all ages joined together by and in Jesus the Christ.
3520	Naoum	Naoum	nah-oom'	Noun Masculine	3486	Naum = "consolation".\Son of Esli and father of Amos, in the genealogy of Jesus the Christ.
3521	nardoV	Nardos	nar'dos	Noun Feminine	3487	1. Nard, the head or spike of a fragrant East Indian plant belonging to the genus Valerianna, which yields a juice of delicious odour which the ancients used (either pure or mixed) in the preparation of a most precious ointment.\2. Nard oil or ointment.
3522	NarkissoV	Narkissos	nar'-kis-sos	Noun Masculine	3488	Narcissus = "stupidity".\A dweller at Rome mentioned by Paul in Rom. 16:11.
3523	nauagew	Nauageo	now-ag-eh'-o	Verb	3489	To suffer shipwreck.
3524	nauklhroV	Naukleros	now'-klay-ros	Noun Masculine	3490	1. A ship owner, ship master.\    A. one who hires out his vessel, or a portion of it, for purposes of transportation.
3525	nauV	Naus	nowce	Noun Feminine	3491	A ship, vessel of considerable size.
3526	nauthV	Nautes	now'-tace	Noun Masculine	3492	A sailor, seaman, mariner.
3527	Nacwr	Nachor	nakh-ore'	Noun Masculine	3493	Nahor = "snorting".\Was the name of two persons in the family of Abraham, an ancestor of Jesus the Christ.
3528	neaniaV	Neanias	neh-an-ee'-as	Noun Masculine	3494	A young man.  Often to denote a student.
3529	neaniskoV	Neaniskos	neh-an-is'-kos	Noun Masculine	3495	1. A young man, youth. Often to denote a student.\    A. used of a young attendant or servant.
3530	Nea	Neapolis	neh-ap'-ol-is	Noun Location	3496	Neapolis = "new city".\A maritime city of Macedonia, on the gulf of Syrymon, having a port and colonised by Chalcidians.
3531	Neeman	Neeman	neh-eh-man'	Noun Masculine	3497	Naaman the Syrian = "pleasantness".\Commander-in-chief of the army of Syria.
3532	nekroV	Nekros	nek-ros'	Adjective	3498	1. Properly.\    A. one that has breathed his last, lifeless.\    B. deceased, departed, one whose soul is in heaven or hell.\    C. destitute of life, without life, inanimate.\2. Metaph.\    A. spiritually dead.\        1. Destitute of a life that recognises and is devoted to God, because given up to trespasses and sins.\        2. Inactive as respects doing right.\    B. destitute of force or power, inactive, inoperative.
3533	nekrow	Nekroo	nek-ro'-o	Verb	3499	1. To make dead, to put to death, slay.\2. Worn out.\    A. of an impotent old man.\3. To deprive of power, destroy the strength of.
3534	nekrwsiV	Nekrosis	nek'-ro-sis	Noun Feminine	3500	1. Putting to death, killing.\2. Being put to death.\3. The dead state, utter sluggishness.\    A. of bodily members and organs.
3535	neomhnia	Neos	neh'-os	Adjective	3501	1. Recently born, young, youthful.\2. New.
3536	nhsoV	Nesos	nay'-sos	Noun Feminine	3520	An island.
3537	nhsteia	Nesteia	nace-ti'-ah	Noun Feminine	3521	1. A fasting, fast.\    A. a voluntary, as a religious exercise.\        1. Of private fasting.\        2. The public fast as prescribed by the Mosaic Law and kept yearly on the great day of atonement, the tenth of the month of Tisri (the month Tisri comprises a part of our September and October); the fast accordingly, occurred in the autumn when navigation was usually dangerous on account of storms.\    B. a fasting caused by want or poverty.
3538	nhsteuw	Nesteuo	nace-tyoo'-o	Verb	3522	To abstain as a religious exercise from food and drink: either entirely, if the fast lasted but a single day, or from customary and choice nourishment, if it continued several days.
3539	nhstiV	Nestis	nace'-tis	Noun Feminine	3523	Fasting, not having eaten.
3540	nhfalioV	Nephaleos	nay-fal'-eh-os	Adjective	3524	1. Sober, temperate.\    A. abstaining from wine, either entirely or at least from its immoderate use.\    B. of things free from all wine, as vessels, offerings.
3541	nhfw	Nepho	nay'-fo	Verb	3525	1. To be sober, to be calm and collected in spirit.\2. To be temperate, dispassionate, circumspect.
3542	Niger	Niger	neeg'-er	Noun Masculine	3526	Niger = "black".\Surname of the prophet Simeon.
3543	Nikanwr	Nikanor	nik-an'-ore	Noun Masculine	3527	Nicanor = "conqueror".\One of the seven deacons in the church at Jerusalem.
3544	nikaw	Nikao	nik-ah'-o	Verb	3528	1. To conquer.\    A. to carry off the victory, come off victorious.\        1. Of Jesus the Christ, victorious over all His foes.\        2. Of Christians, that hold fast their faith even unto death against the power of their foes, and temptations and persecutions.\        3. When one is arraigned or goes to law, to win the case, maintain one's cause.
3545	nikh	Nike	nee'-kay	Noun Feminine	3529	Victory.
3546	NikodhmoV	Nikodemos	nik-od'-ay-mos	Noun Masculine	3530	Nicodemus = "conqueror".\A member of the Sanhedrin who took the part of Jesus.
3547	NikolaithV	Nikolaites	nik-ol-ah-ee'-tace	Noun Masculine	3531	Nicolaitans = "destruction of people".\A sect mentioned in Rev. 2:6,15, who were charged with holding the error of Balaam, casting a stumbling block before the church of God by upholding the liberty of eating things sacrificed to idols as well as committing fornication.
3548	NikolaoV	Nikolaos	nik-ol'-ah-os	Noun Masculine	3532	Nicolas = "victor of the people".\Was a proselyte of Antioch and one of the seven deacons of the church at Jerusalem.
3549	NikopoliV	Nikopolis	nik-op'-ol-is	Noun Location	3533	Nicopolis meaning "city of victory".
3550	nikoV	Nikos	nee'-kos	Noun Neuter	3534	1. Victory.\2. To utterly vanquish.
3551	Nineui	Nineui	nin-yoo-ee'	Noun Location	3535	Nineveh = "offspring of ease: offspring abiding".\The capital of the ancient kingdom of Assyria.
3552	NineuithV	Nineuites	nin-yoo-ee'-tace	Noun Masculine	3536	A Ninevite, an inhabitant of Nineveh.
3553	nipthr	Nipter	nip-tare'	Noun Masculine	3537	A vessel for washing the hands and the feet, a basin.
3554	niptw	Nipto	nip'-to	Verb	3538	1. To wash.\2. To wash one's self.
3555	noew	Noeo	no-eh'-o	Verb	3539	1. To perceive with the mind, to understand, to have understanding.\2. To think upon, heed, ponder, consider.
3556	nohma	Noema	no'-ay-mah	Noun Neuter	3540	1. A mental perception, thought.\2. That which thinks, the mind, thoughts or purposes.
3557	noqoV	Nothos	noth'-os	Adjective	3541	1. Illegitimate, bastard.\2. One born, not in lawful wedlock, but of a concubine or female slave.
3558	nomh	Nome	nom-ay'	Noun Feminine	3542	1. Pasturage, fodder, food.\    A. fig. he shall not want the needful supplies for the true life.\2. Growth, increase.
3559	nomizw	Nomizo	nom-id'-zo	Verb	3543	1. To hold by custom or usage, own as a custom or usage, to follow a custom or usage.\    A. it is the custom, it is the received usage.\2. To deem, think, suppose.
3560	nomikoV	Nomikos	nom-ik-os'	Adjective	3544	1. Pertaining to the law, one learned in the law.\2. In the NT an interpreter and teacher of the Mosaic law.
3561	nomimwV	Nomimos	nom-im'-oce	Noun Masculine	3545	Lawfully, agreeable to the law, properly.
3562	nomisma	Nomisma	nom'-is-mah	Noun Neuter	3546	1. Anything received and sanctioned by usage or law.\2. Money, (current) coin, legal tender.
3563	nomodidaskaloV	Nomodidaskalos	nom-od-id-as'-kal-os	Noun Masculine	3547	A teacher and interpreter of the law.
3564	nomoqesia	Nomothesia	nom-oth-es-ee'-ah	Noun Feminine	3548	Law giving, legislation.
3565	nomoqetew	Nomotheteo	nom-oth-et-eh'-o	Verb	3549	1. To enact laws.\    A. laws are enacted or prescribed for one, to be legislated for, furnished with laws.\2. To sanction by law, enact.
3566	nomoqethV	Nomothetes	nom-oth-et'-ace	Noun Masculine	3550	A lawgiver.
3567	nomoV	Nomos	nom'-os	Noun Masculine	3551	1. Anything established, anything received by usage, a custom, a law, a command.\    A. of any law whatsoever.\        1. A law or rule producing a state approved of God 1a.\    B. by the observance of which is approved of God.\        A. a precept or injunction.\        B. the rule of action prescribed by reason.\    C. of the Mosaic law, and referring, acc. to the context. either to the volume of the law or to its contents.\    D. the Christian religion: the law demanding faith, the moral instruction given by Jesus the Christ, esp. the precept concerning love.\    E. the name of the more important part (the Pentateuch), is put for the entire collection of the sacred books of the OT.
3568	numfwn	Numphon	noom-fohn'	Noun Masculine	3567	1. The chamber containing the bridal bed, the bridal chamber.\    A. of the friends of the bridegroom whose duty it was to provide and care for whatever pertained to the bridal chamber, i.e. whatever was needed for the due celebration of the nuptials.\    B. the room in which the marriage ceremonies are held.
3569	nun	Nun	noon	Adverb	3568	At this time, the present, now.
3570	tanun	Tanun	tan-oon'	Adverb	3569	Now, the present.
3571	nuni	Nuni	noo-nee'	Adverb	3570	Now, at this very moment.
3572	nux	Nux	noox	Noun Feminine	3571	1. Night.\2. Metaph. the time when work ceases.\    A. the time of death.\    B. the time for deeds of sin and shame.\    C. the time of moral stupidity and darkness.\    D. the time when the weary and also the drunken give themselves up to slumber.
3573	nussw	Nusso	noos'-so	Verb	3572	1. Pierce.\2. To pierce through, transfix.\    A. often of severe or even deadly wounds given one.
3574	nustazw	Nustazo	noos-tad'-zo	Verb	3573	1. To nod in sleep, to sleep.\    A. to be overcome or oppressed with sleep.\    B. to fall asleep, drop off to sleep.\2. To be negligent, careless.\    A. of a thing i.e. to linger, delay.
3575	nucqhmeron	Nuchthemeron	nookh-thay'-mer-on	Noun Neuter	3574	A night and a day, the space of twenty four hours.
3576	Nwe	Noe	no'-eh	Noun Masculine	3575	Noah = "rest".\The tenth in descent from Adam, second father of the human family.
3577	nwqroV	Nothros	no-thros'	Adjective	3576	Slow, sluggish, indolent, dull, languid.
3578	nwtoV	Notos	no'-tos	Noun Masculine	3577	The back.
3579	xenia	Xenia	xen-ee'-ah	Noun Feminine	3578	1. Hospitality, hospitable reception.\2. A lodging place, lodgings.
3580	xenizw	Xenizo	xen-id'-zo	Verb	3579	1. To receive as a guest, to entertain, hospitably.\    A. to be received hospitably.\    B. to stay as a guest, to lodge.\    C. be lodged.\2. To surprise or astonish by the strangeness and novelty of a thing.\    A. to think strange, be shocked.
3581	xenodocew	Xenodocheo	xen-od-okh-eh'-o	Verb	3580	To receive and entertain hospitably, to be hospitable.
3582	xenoV	Xenos	xen'-os	Adjective	3581	1. A foreigner, a stranger.\    A. alien (from a person or a thing).\    B. without the knowledge of, without a share in.\    C. new, unheard of.\2. One who receives and entertains another hospitably.\    A. with whom he stays or lodges, a host.
3583	xesthV	Xestes	xes'-tace	Noun Masculine	3582	1. A sextarius.\    A. a vessel for measuring liquids, holding about a pint (.5 litre).\2. A wooden pitcher or ewer from which water or wine is poured, whether holding a sextarius or not.
3584	xhrainw	Xeraino	xay-rah'-ee-no	Verb	3583	1. To make dry, dry up, wither.\2. To become dry, to be dry, be withered.\    A. of plants.\    B. of the ripening of crops.\    C. of fluids.\    D. of the members of the body.\3. To waste away, pine away, i.e. a withered hand.
3585	xhroV	Xeros	xay-ros'	Adjective	3584	1. Dry.\    A. of members of the body deprived of their natural juices, shrunk, wasted, withered.\    B. of the land in distinction from the water.
3586	xulinoV	Xulinos	xoo'-lin-os	Adjective	3585	Wooden, made of wood.
3587	xulon	Xulon	xoo'-lon	Noun Neuter	3586	1. Wood.\    A. that which is made of wood.\        1. As a beam from which any one is suspended, a gibbet, a cross.\        2. A log or timber with holes in which the feet, hands, neck of prisoners were inserted and fastened with thongs.\        3. A fetter, or shackle for the feet.\        4. A cudgel, stick, staff.\2. A tree.
3588	xuraw	Xurao	xoo-rah'-o	Verb	3587	1. To shear, shave.\2. To get one's self shaved.
3589	o	Ho	ho		3588	This, that, these, etc.
3590	ogdohkonta	Ogdoekonta	og-do-ay'-kon-tah	Noun	3589	Eighty.
3591	ogdooV	Ogdoos	og'-do-os	Adjective	3590	The eighth.
3592	ogkoV	Ogkos	ong'-kos	Noun Masculine	3591	1. Whatever is prominent, protuberance, bulk, mass.\    A. hence a burden, weight, encumbrance.
3593	ode	Hode	hod'-eh		3592	This one here, these things, as follows, thus.
3594	odeuw	Hodeuo	hod-yoo'-o	Verb	3593	To travel, journey.
3595	odhgew	Hodegeo	hod-ayg-eh'-o	Verb	3594	1. To be a guide, lead on one's way, to guide.\2. To be a guide or a teacher.\    A. to give guidance to.
3596	odhgoV	Hodegos	hod-ayg-os'	Noun Masculine	3595	1. A leader of the way, a guide.\2. A teacher of the ignorant and inexperienced.
3597	odoiporew	Hodoiporeo	hod-oy-por-eh'-o	Verb	3596	To travel, journey.
3598	odoiporia	Hodoiporia	hod-oy-por-ee'-ah	Noun Feminine	3597	A journey, journeying.
3599	odoV	Hodos	hod-os'	Noun Feminine	3598	1. Properly.\    A. a way.\        1. A travelled way, road.\    B. a travellers way, journey, travelling.\2. Metaph.\    A. a course of conduct.\    B. a way (i.e. manner) of thinking, feeling, deciding.
3600	odouV	Odous	od-ooce	Noun Masculine	3599	A tooth.
3601	odunaw	Odunao	od-oo-nah'-o	Verb	3600	1. To cause intense pain.\2. To be in anguish, be tormented.\3. To torment or distress one's self.
3602	odunh	Odune	od-oo'-nay	Noun Feminine	3601	Consuming grief, pain, sorrow.
